episode_name                                                                                                                    ,web_start_episode   ,web_finish_episode  ,tablet_start_episode,tablet_finish_episode,web_finish_rate                         ,tablet_finish_rate                      ,web_avg_stars                           ,tablet_avg_stars                        ,web_no_submit       ,tablet_no_submit    
StatisticalPropertiesUsingHeatHistogram                                                                                         ,                 683,                 291,                 336,                  154,                      .42606149341142020,                      .45833333333333333,                                 .961479,                                 .946014,                 142,                  69
StickersArrayHiddenParts                                                                                                        ,                9886,                5403,                4989,                 2594,                      .54653044709690471,                      .51994387652836239,                                1.791517,                                1.663716,                 910,                 503
StopTheClock                                                                                                                    ,               59537,               24687,               34096,                14080,                      .41464971362346104,                      .41295166588456123,                                1.467937,                                1.361743,                7928,                4735
SubtractionWithTickets                                                                                                          ,                5307,                3323,                4494,                 2577,                      .62615413604673073,                      .57343124165554072,                                1.933449,                                1.815482,                 338,                 375
SymmetryLines                                                                                                                   ,                9741,                8270,                5201,                 4283,                      .84898881018375936,                      .82349548163814651,                                2.154747,                                2.058317,                 277,                 182
SymmetryShapes                                                                                                                  ,               63079,               22985,               19668,                 7469,                      .36438434344235006,                      .37975391498881431,                                1.880830,                                1.621227,                9208,                2217
Tangram                                                                                                                         ,               62350,               34586,               29715,                15728,                      .55470729751403368,                      .52929496887094060,                                1.757998,                                1.672233,                9991,                4103
ThreeFriendsRiddle                                                                                                              ,                3393,                2029,                1765,                 1038,                      .59799587385794282,                      .58810198300283286,                                 .577024,                                 .567042,                 205,                 111
TimeConversion                                                                                                                  ,                5773,                1283,                1586,                  356,                      .22224146890698077,                      .22446406052963430,                                1.050086,                                 .911858,                1101,                 300
TrainPatterns                                                                                                                   ,                8941,                6215,                6378,                 4184,                      .69511240353428028,                      .65600501724678582,                                2.010466,                                2.002366,                 648,                 456
TrainTimeTable                                                                                                                  ,               21247,                5316,               10060,                 2396,                      .25020002823928083,                      .23817097415506958,                                 .989300,                                 .881362,                3285,                1372
TravelMultiplication                                                                                                            ,                3975,                2989,                2025,                 1448,                      .75194968553459119,                      .71506172839506172,                                2.181846,                                2.101942,                  93,                  61
TreasureHuntDrawingLines                                                                                                        ,               23232,               11364,                7198,                 3581,                      .48915289256198347,                      .49749930536260072,                                1.325710,                                1.150000,                 701,                 194
TreasureIsland                                                                                                                  ,               26461,               11649,               16756,                 8053,                      .44023279543479082,                      .48060396275960849,                                1.252919,                                1.038403,                3695,                1895
TripPlannerDivision                                                                                                             ,                3291,                1835,                1948,                  949,                      .55758128228501975,                      .48716632443531827,                                1.678845,                                1.566198,                 273,                 159
TruckLoading                                                                                                                    ,               36058,               22879,               22010,                12906,                      .63450551888623883,                      .58636983189459336,                                1.791201,                                1.739662,                3938,                2424
UnderstandingNumberLines                                                                                                        ,              102429,               62896,               66721,                39252,                      .61404485057942574,                      .58830053506392290,                                1.922049,                                1.855389,               13675,                9449
UnitSquareConstruction                                                                                                          ,               17731,                8921,                6568,                 3212,                      .50313011110484462,                      .48903775883069427,                                1.553148,                                1.539001,                2105,                 633
VariabilityUsingHistogramAndBoxPlot                                                                                             ,                 320,                 150,                 113,                   47,                      .46875000000000000,                      .41592920353982300,                                 .988397,                                1.022678,                  29,                  16
VegetableGardenArea                                                                                                             ,                4047,                1741,                1526,                  616,                      .43019520632567333,                      .40366972477064220,                                1.537813,                                1.412450,                  70,                  20
VillageDesign                                                                                                                   ,               37336,               17999,               23993,                11049,                      .48208163702592671,                      .46050931521693827,                                1.783040,                                1.685164,                3364,                2462
VillageMeasuringCubes                                                                                                           ,                3882,                2167,                3406,                 1761,                      .55821741370427614,                      .51702877275396359,                                1.724801,                                1.582392,                 354,                 381
VillageMeasuringSticks                                                                                                          ,                3469,                2205,                3877,                 2239,                      .63562986451426924,                      .57750838277018313,                                1.881346,                                1.844933,                 258,                 340
VolumeOfRectangularPrisms                                                                                                       ,                5378,                2494,                1878,                  799,                      .46374116772034213,                      .42545260915867944,                                1.343330,                                1.265144,                 768,                 296
WeighingMattersDecimals                                                                                                         ,                8196,                2863,                5259,                 1794,                      .34931673987310883,                      .34112949229891614,                                1.206372,                                1.127401,                1391,                 946
WeighingRiddles                                                                                                                 ,               62564,               39581,               32663,                20087,                      .63264816827568569,                      .61497719131739276,                                1.871876,                                1.848208,                4396,                2319
WhatWillHappen                                                                                                                  ,                7302,                4193,                5243,                 2909,                      .57422623938646946,                      .55483501811939729,                                1.587795,                                1.520659,                 109,                  73
WholeNumberFractionsOnTheNumberLine                                                                                             ,                5494,                1854,                2134,                  647,                      .33745904623225336,                      .30318650421743205,                                1.345034,                                1.175489,                 523,                 242
WritingDigits                                                                                                                   ,               38384,               27902,               48428,                32846,                      .72691746561067111,                      .67824399107954076,                                2.344398,                                2.336580,                4932,                4841

